id,name
R1,清热
R2,润肺
R3,止咳
R4,化痰
R5,疏风
R6,散寒
R7,散热
R8,解毒
R9,祛痰
R10,解表
R11,除湿
R12,宣肺
R13,活血
R14,化瘀
R15,清肺
R16,辛温
R17,平喘
R18,温胃
R19,补气
R20,养血
R21,凉血
R22,止血
R23,养阴
R24,益气
R25,滋肝
R26,补肾
R27,理气
R28,通络
R29,镇痛
R30,行瘀
R31,消肿
R32,排脓
R33,和胃
R34,消食
R35,化积
R36,健脾
R37,疏肝
R38,行气
R39,利湿
R40,止痛
R41,消炎
R42,排毒
R43,收敛
R44,止泻
R45,补益
R46,补中
R47,化滞
R48,理气
R49,养心
R50,安神
R51,止呕
R52,降逆
R53,清胃
R54,泻火
R55,清肝
R56,顺气
R57,温中
R58,养胃
R59,祛寒
R60,通便
R61,温气
R62,退黄
R63,利水
R64,攻下
R65,通利
R66,小便
R67,降火
R68,补虚
R69,固涩
R70,止渴
R71,除烦
R72,渗湿
R73,利水
R74,行水
R75,去风
R76,温通
R77,祛风
R78,扶阳
R79,滋阴
R80,滋补
R81,肝肾
R82,开郁
R83,宁心
R84,疏经
R85,生津
R86,镇静
R87,通窍
R88,祛热
R89,除毒
R90,收敛
R91,清肝火
R92,清胃热
R93,化斑
R94,舒经
R95,攻补兼施
R96,通经脉
R97,补骨
R98,强筋
R99,补肝
R100,神气
R101,益胃
R102,消痈
R103,祛腐
R104,生肌
R105,润燥
R106,燥湿
R107,逐邪
R108,止痢
R109,疏散
R110,风热
R111,利胆
R112,散瘀
R113,红色斑疹
R114,丘疹
R115,水疱
R116,杀虫
R117,止痒
R118,降气
R119,退烧
R120,止胸痛
R121,散风
R122,利咽
R123,止喘
R124,理肺
R125,温肺
R126,去肺热
R127,滋阴补虚
R128,柔肝
R129,除痰
